,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,job
0,0.1711122221047406,-0.08289815148842457,-0.15284240828529178,0.06831591552662834,-0.008014344155469987,0.22233475239296768,-0.08065848393975368,-0.03482755552736428,0.07245256309899825,-0.11952191972544385,-0.012817979948582027,0.11941489850026747,0.008902539117581001,-0.08551273498848791,0.027617378203132256,0.04988873579690323,0.004466968045777966,-0.006276069959813756,-0.04254343353732008,-0.010653524279972093,Medical Scheduler
1,0.10204880032149356,0.0007662176791551007,0.00982719042695125,0.055642476800815036,-0.014407453560170029,-0.08583761156908606,-0.0375853951253209,0.04463287720719801,0.042993218887664636,-0.03049488720881358,-0.06550502461790783,-0.10658332659486867,0.0001877872736361962,0.027732348000732092,0.019788448679062935,0.022598199534167397,-0.06719375606502216,-0.046834521017933006,0.008062387443768233,-0.011139934664445496,Chiropractic Assistant
2,0.18896089657468423,-0.10675983230070661,-0.06970617090933967,0.07962025911951767,0.036529567271387786,0.07735468609826311,-0.0600719294749055,0.0293593585775514,-0.05856625098518474,0.0379583919533549,-0.059041795404075316,-0.028014696688339134,-0.09644194085000979,0.12880216070344552,0.03718307159225376,-0.09294136450300207,-0.1139488886488751,-0.059788995865878644,0.12564756420987372,-0.07531273725753516,Administrative Assistant for Medical Front Office
3,0.10583084567729481,-0.0056074561702831455,0.006966021244113413,0.04760331498716653,-0.0015679438156071621,-0.012458003177860607,-0.06547831307867352,-0.0011405127304589396,0.0029155003224260196,-0.04848622926946111,0.03611014894934858,-0.020489422564157988,-0.0915554250460966,0.0010691430953779415,0.05140540571131033,-0.03677091625165681,-0.03617900478709983,0.009001851523362754,0.008423627083829818,-0.05239365388317112,Medical Scribe
4,0.194243418554449,-0.1149174844716439,-0.10620735755673719,0.05976465985785689,0.023821490799799172,0.11038813404808734,0.0001419695585374338,0.003443571349620418,-0.009751046897342623,-0.08295008929247055,-0.07268146287822186,-0.03871591218520168,0.0717627271945366,0.012967546725265358,0.06978795241026564,0.02017508118863152,0.016442392283894852,-0.012129745608689048,0.00890578064642909,-0.0716225565384957,Surgery Scheduler
5,0.07475158862577133,-0.009151309687642774,-0.03214561137932918,0.0839705293995762,0.012665868956329138,-0.08697613864658667,-0.1338098959165836,0.021125791571396667,-0.13570993603000175,-0.1212739974954241,0.03560864734351783,-0.06043450278798744,-0.02280349631210917,0.042613849576505436,0.18065625552563636,-0.1501704448471495,-0.04868155946743639,0.07930854963683799,0.07823671619081035,0.07743089779052373,Front Office Medical Assistant
6,0.10841692318885154,-0.021701268219063492,-0.02191246400356644,0.0239778741358446,0.018913076579464734,-0.04216835943749732,0.034217583006290325,0.03896370674323256,-0.003710857038730352,-0.01594690068606221,-0.03810224197261548,-0.008767395458990775,-0.009741822944924712,0.011483259291989971,0.028276459948428517,-0.0273233447474722,-0.029423722627893417,0.02569392922781223,3.2823786429053356e-05,-0.040718495672839104,Ambulatory Surgery Center Administrator
7,0.16297371379028305,-0.012690775818952223,-0.08862528646622168,-0.01142955065000225,-0.07598192258390053,0.04278467704519586,-0.004667323369778464,-0.06734821748098846,0.07479781416905154,-0.031867854042139154,0.08407006831300368,0.03383379206007465,0.04694846388890485,-0.047508422155060986,0.09081992992789234,-0.016177201367002285,-0.07394905649443859,-0.11004119943489431,-0.01549063520590701,-0.06334483932331861,Medical Assistant
8,0.0951640916542709,-0.010106538398968218,-0.04195434789671206,0.061705858061989555,0.015592097028565201,-0.058128385456363514,-0.12666136563322103,0.009213269226507144,-0.0630367691251351,-0.04470872331623544,0.05807295453719383,-0.05514451391971302,-0.052545554333169965,0.038160488062265824,0.11140592365241035,-0.18000585192672647,-0.07411837722804791,0.10703376722570528,0.05210152519014438,0.04356503174894902,Administrative Assistant
9,0.18525598006287058,-0.09434916891194325,-0.0358084166814497,0.09842956733877559,0.013029504914811803,0.2683110886184958,-0.06250322678767205,-0.011479312251375749,0.051313295770572545,-0.04551925817521462,-0.04997547626601395,-0.014752566549312061,-0.009549351848863786,0.060285548328904884,-0.007810865111688222,0.03892106636874146,-0.0392481851853852,-0.00649596118008143,0.0029871652559535734,0.012997575280423692,Front Desk Chiropractic Assistant
10,0.11439186278545924,-0.07944939616621742,-0.09363556269971673,0.04436024237874891,0.021592890200423123,0.185537575858575,-0.06639596641935747,-0.025369981632693935,0.07494147789017164,-0.07426055934724707,2.942682847359261e-05,0.041562218985404804,0.018049437235074545,-0.07816230942088996,0.033757222164081266,0.015358925697844809,0.006913304510266584,-0.010808736753325348,-0.015424298775166803,0.030248454906088934,Admissions Coordinator
11,0.06123406869351678,-0.009374214111601916,-0.0006178276598535742,0.02441628476213048,-0.011400254281715812,-0.042814951939537396,-0.05154686796904233,0.01968581804545028,0.008304761600473217,-0.04915430671735835,-0.009359488957812277,-0.06914970046024015,-0.024795380692679114,-0.00015336563403150864,0.059168732738518595,0.039600096711345185,0.03291588122572016,0.059126855090712235,-0.010710047384022035,-0.005628987470988413,Remote Office Manager - *WorkFromHome*
12,0.16996492307827604,-0.13342017480795498,-0.1314151080643236,0.08366563759788649,0.05801647145967272,0.28698969169886684,-0.07191982248546852,-0.016722331637449874,0.06876225392835587,-0.08293345831499876,-0.05904456433543062,0.03179408911238893,-0.013298170268104445,-0.01224301037097899,0.016258635900615232,0.02845739681811224,-0.012186939962731841,-0.025076613608267396,-0.018602459431567152,-0.011314360516710198,Call Center Representative
